Project Name (Repository Name),Group Name,Group Depth,Last Activity At (JST),Created At (JST),Project URL
alexkalderimis,1,alexkalderimis/gitlab-ee,2019-11-28 04:48:10,2019-05-23 00:45:33,https://gitlab.com/alexkalderimis/gitlab-ee
charts,1,charts/charts.gitlab.io,2022-04-13 05:38:18,2017-03-09 13:57:17,https://gitlab.com/charts/charts.gitlab.io
charts,1,charts/auto-deploy-app,2019-04-18 14:11:00,2018-05-10 02:40:44,https://gitlab.com/charts/auto-deploy-app
dblessing,1,dblessing/gitlab,2020-02-14 23:07:47,2015-10-08 23:31:33,https://gitlab.com/dblessing/gitlab
dblessing,1,dblessing/gitlab-ce,2020-03-07 02:08:54,2014-04-15 01:21:40,https://gitlab.com/dblessing/gitlab-ce
gitlab-com,1,gitlab-com/support-forum,2022-02-10 02:07:24,2014-07-01 15:55:14,https://gitlab.com/gitlab-com/support-forum
gitlab-data,1,gitlab-data/managers,2022-03-05 06:53:48,2019-12-17 04:38:30,https://gitlab.com/gitlab-data/managers
gitlab-org,1,gitlab-org/release-sample-projects,2022-04-14 21:25:47,2022-04-14 04:44:48,https://gitlab.com/gitlab-org/release-sample-projects
gitlab-org,1,gitlab-org/gitlab-recipes,2022-04-05 16:05:55,2013-10-04 20:21:23,https://gitlab.com/gitlab-org/gitlab-recipes
gitlab-org,1,gitlab-org/app-modernization-2021,2021-10-22 19:44:54,2021-10-22 19:44:54,https://gitlab.com/gitlab-org/app-modernization-2021
gitlab-org,1,gitlab-org/app-modernization,2021-11-02 23:42:03,2021-10-22 19:41:27,https://gitlab.com/gitlab-org/app-modernization
gitlab-org,1,gitlab-org/golang-archive-zip,2021-11-26 01:18:07,2021-10-20 01:46:52,https://gitlab.com/gitlab-org/golang-archive-zip
gitlab-org,1,gitlab-org/rb-ipynbdiff,2021-09-28 21:28:51,2021-09-28 21:28:51,https://gitlab.com/gitlab-org/rb-ipynbdiff
gitlab-org,1,gitlab-org/docker-build-test,2021-09-28 00:03:40,2021-09-27 18:15:41,https://gitlab.com/gitlab-org/docker-build-test
gitlab-org,1,gitlab-org/jh-upstream-report,2022-04-02 14:52:23,2021-08-05 07:38:25,https://gitlab.com/gitlab-org/jh-upstream-report
gitlab-org,1,gitlab-org/gitlab-rdoc,2021-07-05 21:45:18,2021-06-25 05:42:34,https://gitlab.com/gitlab-org/gitlab-rdoc
gitlab-org,1,gitlab-org/mnohr-permissions-test,2021-06-25 01:20:01,2021-06-25 01:20:01,https://gitlab.com/gitlab-org/mnohr-permissions-test
gitlab-org,1,gitlab-org/developer.gitlab.com,2022-04-15 03:53:37,2021-06-17 00:40:22,https://gitlab.com/gitlab-org/developer.gitlab.com
gitlab-org,1,gitlab-org/test-cveid-btn,2021-06-08 17:18:08,2021-06-08 17:18:08,https://gitlab.com/gitlab-org/test-cveid-btn
gitlab-org,1,gitlab-org/gitlab-shell,2022-04-15 14:26:42,2013-10-08 01:48:29,https://gitlab.com/gitlab-org/gitlab-shell
gitlab-org,1,gitlab-org/spamcheck,2022-04-06 01:35:22,2021-05-19 01:24:05,https://gitlab.com/gitlab-org/spamcheck
